Project name,Data source,Core capacities,PHEICs (response funding),Funder,Funder type,"Funder including specific sub-organization, if any",Recipient,Recipient type,"Recipient including specific sub-organization, if any",Support type,Transaction year range,Amount committed,Amount disbursed,Response-specific transaction year range,Response-specific amount committed,Response-specific amount disbursed,Transaction currency
COVID-19 UNFPA Midwifery 2017-2021,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Bangladesh,Government,Bangladesh,Direct financial support,2017 - 2020,"5,042,564.64","4,789,551.34",2020,0.00,"1,232,265.98",USD
Sweden funds UN CERF for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,United Nations (UN),Organization,United Nations (UN) (United Nations Central Emergency Response Fund (UN CERF)),Direct financial support,2020,"5,032,768.00",,2020,"5,032,768.00",0.00,USD
COVID-19 UNICEF: Scaling Up Nutrition (SUN) Phase II,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Zambia,Government,Zambia,Direct financial support,2019 - 2020,"5,023,318.77","2,150,420.22",2020,0.00,"1,357,264.62",USD
COVID-19 GPP: Assisting GoUP to establish dedicated COVID Facilities,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,India,Government,India,Direct financial support,2020,"5,000,004.00","5,000,004.00",2020,"5,000,004.00","5,000,004.00",USD
Supporting critical agricultural value chains in food crisis countries in the context of COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Food and Agriculture Organization (FAO)),Not reported,Other,Not reported,Direct financial support,2020,"5,000,000.86","1,098,464.51",2020,"5,000,000.86","1,098,464.51",USD
Special Programme for Food Security in Response to the Impacts of COVID 19 in Lesotho,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Food and Agriculture Organization (FAO)),Lesotho,Government,Lesotho,Direct financial support,2020,"5,000,000.25","1,603,264.77",2020,"5,000,000.25","1,603,264.77",USD
Irrigation: Project for Strengthening the Resilience of Small Farmers to the consequences of the COVID-19 pandemic,IATI Registry,,2019-2021 COVID-19 Pandemic,International Fund for Agricultural Development (IFAD),Organization,International Fund for Agricultural Development (IFAD),Haiti,Government,Haiti,Direct financial support,2021,"5,000,000.00",,2021,"5,000,000.00",0.00,USD
COVID-19 Assistance to Niger,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Niger,Government,Niger,Direct financial support,2020 - 2021,"5,000,000.00","4,921,795.90",2020 - 2021,"5,000,000.00","4,921,795.90",USD
Bhutan: COVID-19 Emergency Response and Health Systems Preparedness Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Bhutan,Government,Bhutan,Direct financial support,2020 - 2021,"5,000,000.00","3,076,931.00",2020 - 2021,"5,000,000.00","3,076,931.00",USD
"COVID-19: Pacific Disaster Resilience Program, Phase 3",IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Vanuatu,Government,Vanuatu,Direct financial support,2020 - 2021,"5,000,000.00",0.00,2020 - 2021,"5,000,000.00",0.00,USD
Djibouti COVID-19 Response,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Djibouti,Government,Djibouti,Direct financial support,2020 - 2021,"5,000,000.00","2,875,000.00",2020 - 2021,"5,000,000.00","2,875,000.00",USD
COVID-19 Ecudaor Assistance,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Ecuador,Government,Ecuador,Direct financial support,2020 - 2021,"5,000,000.00","2,757,822.27",2020 - 2021,"5,000,000.00","2,757,822.27",USD
Cisco funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Cisco,Organization,Cisco,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"5,000,000.00",,2021,"5,000,000.00",0.00,USD
Google funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Google,Organization,Google,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"5,000,000.00",,2021,"5,000,000.00",0.00,USD
Procter & Gamble funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Procter & Gamble,Organization,Procter & Gamble,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"5,000,000.00",,2021,"5,000,000.00",0.00,USD
TikTok funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,TikTok,Organization,TikTok,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2020 - 2021,"5,000,000.00","5,000,000.00",2020 - 2021,"5,000,000.00","5,000,000.00",USD
COVID-19 Support to Chad,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Chad,Government,Chad,Direct financial support,2020 - 2021,"5,000,000.00","3,188,885.42",2020 - 2021,"5,000,000.00","3,188,885.42",USD
Global COVID-19 Food Security Data and Analysis Facility,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Not reported,Other,Not reported,Direct financial support,2020 - 2021,"5,000,000.00","1,546,000.00",2020 - 2021,"5,000,000.00","1,546,000.00",USD
Qatar funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Qatar,Government,Qatar,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,"5,000,000.00",,2020,"5,000,000.00",0.00,USD
Kuwait funds FIND for COVID-19 Response,EIU Tracker 03-Aug-2021,R.4,2019-2021 COVID-19 Pandemic,Kuwait,Government,Kuwait,Foundation for Innovative New Diagnostics (FIND),Organization,Foundation for Innovative New Diagnostics (FIND),Direct financial support,2020,"5,000,000.00","5,000,000.00",2020,"5,000,000.00","5,000,000.00",USD
Alwaleed Philanthropies funds Bill & Melinda Gates Foundation for COVID-19 Response,EIU Tracker 03-Aug-2021,D.2,2019-2021 COVID-19 Pandemic,Alwaleed Philanthropies,Organization,Alwaleed Philanthropies,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Direct financial support,2020,"5,000,000.00",,2020,"5,000,000.00",0.00,USD
Burundi COVID19 Preparedness and Response Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Burundi,Government,Burundi,Direct financial support,2020 - 2021,"5,000,000.00","5,206,641.00",2020 - 2021,"5,000,000.00","5,206,641.00",USD
"COVID-19: Pacific Disaster Resilience Program, Phase 3",IATI Registry,,2019-2021 COVID-19 Pandemic,Asian Development Bank,Organization,Asian Development Bank,Solomon Islands,Government,Solomon Islands,Direct financial support,2020 - 2021,"5,000,000.00",0.00,2020 - 2021,"5,000,000.00",0.00,USD
Iraq COVID-19 Prevention and Response,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Iraq,Government,Iraq,Direct financial support,2020 - 2021,"5,000,000.00","4,046,845.56",2020 - 2021,"5,000,000.00","4,046,845.56",USD
GUINEA-BISSAU COVID-19 VACCINE PROJECT,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Guinea Bissau,Government,Guinea Bissau,Direct financial support,2021,"5,000,000.00",0.00,2021,"5,000,000.00",0.00,USD
Alwaleed Philanthropies funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Alwaleed Philanthropies,Organization,Alwaleed Philanthropies,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,"5,000,000.00",,2020,"5,000,000.00",0.00,USD
Singapore funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Singapore,Government,Singapore,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2020 - 2021,"5,000,000.00","5,000,000.00",2020 - 2021,"5,000,000.00","5,000,000.00",USD
COVID-19: GRID3 COVID-19 Support Scale-up,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Senegal; Mozambique; Ethiopia; South Sudan; Sierra Leone; Namibia; Burkina Faso; Democratic Republic of the Congo; Kenya; Nigeria; Zambia,Government,Senegal; Mozambique; Ethiopia; South Sudan; Sierra Leone; Namibia; Burkina Faso; Democratic Republic of the Congo; Kenya; Nigeria; Zambia,Direct financial support,2020 - 2021,"5,000,000.00","5,000,000.00",2020 - 2021,"5,000,000.00","5,000,000.00",USD
Emergency agricultural livelihood assistance to conflict and COVID-19 affected population in Shabwah,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Food and Agriculture Organization (FAO)),Yemen,Government,Yemen,Direct financial support,2020,"4,999,999.79","458,270.62",2020,"4,999,999.79","458,270.62",USD
TEAM: Time-critical Emergency Agriculture inputs assistance to Marginal and food insecure farming households to mitigate impacts of COVID-19 and ongoing food crisis,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Food and Agriculture Organization (FAO)),Afghanistan,Government,Afghanistan,Direct financial support,2020,"4,999,999.79","3,561,344.63",2020,"4,999,999.79","3,561,344.63",USD
"Provision of emergency response Personal Protective Equipment (PPE) for those performing critical public health functions for South Sudan, during the COVID-19 epidemic.",IATI Registry,,2019-2021 COVID-19 Pandemic,OCHA Country Based Pooled Funds,Organization,OCHA Country Based Pooled Funds,South Sudan,Government,South Sudan,Direct financial support,2020,"4,999,500.01","4,999,500.01",2020,"4,999,500.01","4,999,500.01",USD
COVID-19: Mitigating indirect impacts on health services,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,South America; Eastern Asia; Central Asia; Southern Asia; Middle East; Sub-Saharan Africa; Europe,Other,South America; Eastern Asia; Central Asia; Southern Asia; Middle East; Sub-Saharan Africa; Europe,Direct financial support,2020 - 2021,"4,999,303.00","4,999,303.00",2020 - 2021,"4,999,303.00","4,999,303.00",USD
Project Management and Procurement Support for an Intensive Care Unit for COVID-19 treatments and prevention in Afghanistan,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Afghanistan,Government,Afghanistan,Direct financial support,2020 - 2021,"4,999,184.00","1,980,061.00",2020 - 2021,"4,999,184.00","1,980,061.00",USD
Covid 19 - Intensive Care Unit (ICU) Facility,IATI Registry,,2019-2021 COVID-19 Pandemic,OCHA Country Based Pooled Funds,Organization,OCHA Country Based Pooled Funds,Afghanistan,Government,Afghanistan,Direct financial support,2020,"4,995,976.23","4,995,976.23",2020,"4,995,976.23","4,995,976.23",USD
COVID-19: A platform solution for over-the-counter molecular dx testing,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,995,360.00","4,995,360.00",2020,"4,995,360.00","4,995,360.00",USD
Covid-19 Response,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),Lebanon,Government,Lebanon,Direct financial support,2020 - 2021,"4,992,651.00","1,249,055.00",2020 - 2021,"4,992,651.00","1,249,055.00",USD
2020 CRRP - Senegal COVID-19 Response Program,IATI Registry,,2019-2021 COVID-19 Pandemic,Mastercard,Organization,Mastercard,Senegal,Government,Senegal,Direct financial support,2020,"4,990,225.00",,2020,"4,990,225.00",0.00,USD
COVID-19: Low cost field/consumer molecular diagnostic,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,"4,971,165.00","4,971,165.00",2020 - 2021,"4,971,165.00","4,971,165.00",USD
Support to Maritime COVID Response and Law Enforcement in  South East Asia,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Sri Lanka,Government,Sri Lanka,Direct financial support,2021,"4,959,160.00","39,562.00",2021,"4,959,160.00","39,562.00",USD
New Zealand funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,New Zealand,Government,New Zealand,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2020 - 2021,"4,918,200.00","4,918,200.00",2020 - 2021,"4,918,200.00","4,918,200.00",USD
"IOM COVID 19 response, engagement",IATI Registry,,2019-2021 COVID-19 Pandemic,Denmark,Government,"Denmark (Denmark - Ministry of Foreign Affairs, Danida)",Africa,Other,Africa,Direct financial support,2020,"4,904,687.44","4,904,687.44",2020,"4,904,687.44","4,904,687.44",USD
COVID-19 Procurement,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),Uzbekistan,Government,Uzbekistan,Direct financial support,2020 - 2021,"4,886,227.00","790,774.00",2020 - 2021,"4,886,227.00","790,774.00",USD
Belgium funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Belgium,Government,Belgium,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"4,880,000.00",,2021,"4,880,000.00",0.00,USD
COVID-19 - Flagship Social Protection Floors - ILO,IATI Registry,,2019-2021 COVID-19 Pandemic,Belgium,Government,Belgium,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,866,226.51","2,433,113.26",2020,"4,866,226.51","2,433,113.26",USD
Response to the COVID-19 Pandemic in Haiti,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Haiti,Government,Haiti,Direct financial support,2020,"4,866,226.51",,2020,"4,866,226.51",0.00,USD
Community-Based COVID-19 Prevention in Yemen: Enabling shielding of COVID-19 Highest Risk individuals  - Al Hagrah,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Yemen,Government,Yemen,Direct financial support,2020,"4,866,226.51","3,892,981.21",2020,"4,866,226.51","3,892,981.21",USD
Covid-19 support to WHO for fragile healthsystems,IATI Registry,,2019-2021 COVID-19 Pandemic,Belgium,Government,Belgium,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,866,226.51","4,866,226.51",2020,"4,866,226.51","4,866,226.51",USD
COVID-19: High-throughput molecular testing,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,856,795.00","4,856,795.00",2020,"4,856,795.00","4,856,795.00",USD
Staff Wellness Support of WFP Employees/Families during the ongoing COVID-19 Pandemic and beyond,IATI Registry,,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,"4,824,075.01","2,433,113.26",2020 - 2021,"4,824,075.01","2,433,113.26",USD
COVID-19 PSI - SRHR Zimbabwe 2018-2021,IATI Registry,Unspecified; D.3,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Zimbabwe,Government,Zimbabwe,Direct financial support,2018 - 2021,"4,804,784.59","4,570,473.46",2020 - 2021,0.00,"2,362,237.64",USD
ATENCIÓN DE EMERGENCIAS HUMANITARIAS Y SANITARIAS GENERADAS POR LOS EFECTOS DE LA PANDEMIA COVID-19 Y OTROS EVENTOS ADVERSOS EN LA REPÚBLICA EN EL PARAGUAY,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Paraguay,Government,Paraguay,Direct financial support,2020 - 2021,"4,800,000.00","2,690,185.00",2020 - 2021,"4,800,000.00","2,690,185.00",USD
Central Asia and Mongolia COVID-19 Crisis Response (CAMCCR),IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,European Commission - International Partnerships,Organization,European Commission - International Partnerships,Central Asia,Other,Central Asia,Direct financial support,2020,"4,781,923.51",,2020,"4,781,923.51",0.00,USD
Recover better-Overcoming the COVID-19 Pandemic Consequences in Latin America and the Caribbean (LAC),IATI Registry,,2019-2021 COVID-19 Pandemic,Germany,Government,Germany,America,Other,America,Direct financial support,2021,"4,781,923.51","2,235.37",2021,"4,781,923.51","2,235.37",USD
Ireland funds GAVI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Ireland,Government,Ireland,Global Alliance for Vaccines and Immunisation (GAVI),Organization,Global Alliance for Vaccines and Immunisation (GAVI),Direct financial support,2021,"4,772,000.00","4,772,000.00",2021,"4,772,000.00","4,772,000.00",USD
COVID-19 UNFPA Sexual and reproductive health and rights 2017-2020,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Ethiopia,Government,Ethiopia,Direct financial support,2017 - 2020,"4,761,904.76","4,560,416.97",2020,0.00,"944,656.18",USD
Dominica First COVID-19 Response and Recovery Programmatic DPC,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Dominica,Government,Dominica,Direct financial support,2021,"4,750,000.00","4,750,000.00",2021,"4,750,000.00","4,750,000.00",USD
Cash for Work Norway COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),Palestine,Government,Palestine,Direct financial support,2020 - 2021,"4,744,959.00","2,593,944.00",2020 - 2021,"4,744,959.00","2,593,944.00",USD
"Integrated response to COVID-19 crisis through strengthened healthcare, child protection and education services",IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Bangladesh,Government,Bangladesh,Direct financial support,2020,"4,744,570.85","2,335,788.73",2020,"4,744,570.85","2,335,788.73",USD
COVID-19 Frontline AIDS 2020-2022,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020 - 2021,"4,723,280.89","2,280,204.57",2020 - 2021,"4,723,280.89","2,280,204.57",USD
Aquisição de Medicamentos para o Covid-19 no Estado do Acre,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Brazil,Government,Brazil,Direct financial support,2020 - 2021,"4,711,614.00","906,176.00",2020 - 2021,"4,711,614.00","906,176.00",USD
APOYO A LAS COMUNIDADES EN SITUACIÓN SOCIOECONÓMICA MÁS DESFAVORECIDAS ANTE LA PANDEMIA COVID-19 EN EL PARAGUAY,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Office for Project Services (UNOPS)),Paraguay,Government,Paraguay,Direct financial support,2020 - 2021,"4,700,000.00","248,365.00",2020 - 2021,"4,700,000.00","248,365.00",USD
Solomon Islands COVID-19 Emergency Response Project,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,World Bank,Organization,World Bank (International Development Association),Solomon Islands,Government,Solomon Islands,Direct financial support,2021,"4,700,000.00","972,749.60",2021,"4,700,000.00","972,749.60",USD
"2020 COVID-19 Response: Prevention, Recovery and Resilience in Uganda",IATI Registry,,2019-2021 COVID-19 Pandemic,Mastercard,Organization,Mastercard,Uganda,Government,Uganda,Direct financial support,2020,"4,698,184.00",,2020,"4,698,184.00",0.00,USD
Montserrat COVID 19 Support,IATI Registry,,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,United Kingdom,Government,United Kingdom (Montserrat),Direct financial support,2020 - 2021,"4,692,909.38","4,736,088.30",2020 - 2021,"4,692,909.38","4,736,088.30",USD
Strengthening Food Systems in Response to Coronavirus (COVID-19),IATI Registry,,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Oceania; Central America; South America; Eastern Asia; Central Asia; North America; Caribbean; Southern Asia; Middle East; Sub-Saharan Africa,Other,Oceania; Central America; South America; Eastern Asia; Central Asia; North America; Caribbean; Southern Asia; Middle East; Sub-Saharan Africa,Direct financial support,2020,"4,683,982.98","4,683,982.98",2020,"4,683,982.98","4,683,982.98",USD
404  PROVIDE PROTECTION SERVICES FOR CHILDREN & ADOLESCENTS DURING COVID-19,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),India,Government,India,Direct financial support,2020 - 2021,"4,680,108.00","2,291,524.00",2020 - 2021,"4,680,108.00","2,291,524.00",USD
2020 - COVID-19 RRP,IATI Registry,,2019-2021 COVID-19 Pandemic,Mastercard,Organization,Mastercard,Rwanda,Government,Rwanda,Direct financial support,2020,"4,658,067.00",,2020,"4,658,067.00",0.00,USD
ADD SDG Performance Fund 2.0 COVID-19,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Netherlands,Government,Netherlands,Ethiopia,Government,Ethiopia,Direct financial support,2020,"4,641,637.99","4,376,416.48",2020,"4,641,637.99","4,376,416.48",USD
COVID-19 WFP - UNICEF Joint Programme on Social Protection in Uganda 2019-2023,IATI Registry,P.4; Unspecified,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Uganda,Government,Uganda,Direct financial support,2019 - 2021,"4,626,740.98","3,775,603.90",2020 - 2021,0.00,"2,850,255.71",USD
Support to Rohingya refugees and host communities through Shelter and COVID-19 Health interventions,IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Bangladesh,Government,Bangladesh,Direct financial support,2020,"4,622,915.19",,2020,"4,622,915.19",0.00,USD
COVID-19 UNICEF maternal & newborn health West Nile 2017-21,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Uganda,Government,Uganda,Direct financial support,2016 - 2020,"4,616,373.52","4,408,990.35",2020,0.00,"2,280,204.57",USD
COVID-19 Award for Mobile Devices,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),South Africa,Government,South Africa,Direct financial support,2020,"4,615,657.00","4,574,506.98",2020,"4,615,657.00","4,574,506.98",USD
COVID-19 GPP: Direct Antigen RDT Manufacturing Expansion,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,601,243.00","400,000.00",2020,"4,601,243.00","400,000.00",USD
Hospitales equipados y COVID,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),Paraguay,Government,Paraguay,Direct financial support,2020 - 2021,"4,591,459.00","4,744,537.00",2020 - 2021,"4,591,459.00","4,744,537.00",USD
EBRD - Norway Covid-19 response,IATI Registry,,2019-2021 COVID-19 Pandemic,Norway,Government,Norway (Norad - Norwegian Agency for Development Cooperation),Europe,Other,Europe,Direct financial support,2020,"4,588,963.74","4,588,963.74",2020,"4,588,963.74","4,588,963.74",USD
"Multinational - Exceptional Project to support ECOWAS Low Income Members Countries and Strengthening the Health Systems of the Gambia, Mali and Niger to combat the COVID-19 Pandemic - Niger Component",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,African Development Bank,Organization,African Development Bank,Africa,Other,Africa,Direct financial support,2020 - 2021,"4,536,845.67",,2020 - 2021,"4,536,845.67",0.00,USD
Finland funds CEPI for COVID-19 Response,EIU Tracker 03-Aug-2021,P.7,2019-2021 COVID-19 Pandemic,Finland,Government,Finland,Coalition for Epidemic Preparedness Innovations (CEPI),Organization,Coalition for Epidemic Preparedness Innovations (CEPI),Direct financial support,2020 - 2021,"4,504,000.00","4,504,000.00",2020 - 2021,"4,504,000.00","4,504,000.00",USD
COVID-19 Pandemic Response,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Niger; Mali; Chad; Cameroon; Burkina Faso,Government,Niger; Mali; Chad; Cameroon; Burkina Faso,Direct financial support,2020,"4,500,000.00","1,788,436.00",2020,"4,500,000.00","1,788,436.00",USD
Belgium funds WHO for COVID-19 Response,EIU Tracker 03-Aug-2021,R.2; R.1,2019-2021 COVID-19 Pandemic,Belgium,Government,Belgium,World Health Organization (WHO),Organization,World Health Organization (WHO),Direct financial support,2020,"4,499,227.00",,2020,"4,499,227.00",0.00,USD
OUTPUT 2.4 COVID-19 RESPONSE,IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Children's Fund (UNICEF)),Liberia,Government,Liberia,Direct financial support,2020 - 2021,"4,493,639.69","2,312,750.52",2020 - 2021,"4,493,639.69","2,312,750.52",USD
Multisectoral support for recovery after COVID-19 in Senegal,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Canada,Government,Canada,Senegal,Government,Senegal,Direct financial support,2021,"4,472,727.33","2,238,372.72",2021,"4,472,727.33","2,238,372.72",USD
COVID-19 Access to safe abortion in Mozambique,IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,Sweden,Government,Sweden,Mozambique,Government,Mozambique,Direct financial support,2016 - 2020,"4,462,076.78","3,409,790.87",2020,0.00,"1,085,811.70",USD
"Covid Resp. Amh,Tigray & Somal",IATI Registry,,2019-2021 COVID-19 Pandemic,United Nations (UN),Organization,United Nations (UN) (United Nations Development Programme (UNDP)),Ethiopia,Government,Ethiopia,Direct financial support,2020 - 2021,"4,451,541.00","4,500,000.00",2020 - 2021,"4,451,541.00","4,500,000.00",USD
COVID-19 Technical Assistance,IATI Registry,,2019-2021 COVID-19 Pandemic,United States of America,Government,United States of America (United States Agency for International Development (USAID)),Peru,Government,Peru,Direct financial support,2020 - 2021,"4,430,000.00","3,950,000.00",2020 - 2021,"4,430,000.00","3,950,000.00",USD
"Iraq Reform, Reconstruction and Recovery multi-donor Trust Fund: COVID conflict security and stability funding",IATI Registry,Unspecified,2019-2021 COVID-19 Pandemic,United Kingdom,Government,United Kingdom,Iraq,Government,Iraq,Direct financial support,2021,"4,428,832.54","4,428,832.54",2021,"4,428,832.54","4,428,832.54",USD
COVID-19 CTA GPP: CROWN CORONATION PrEP Platform Study,IATI Registry,,2019-2021 COVID-19 Pandemic,Bill & Melinda Gates Foundation,Organization,Bill & Melinda Gates Foundation,Low and middle-income countries (LMIC),Other,Low and middle-income countries (LMIC),Direct financial support,2020,"4,425,000.00","4,425,000.00",2020,"4,425,000.00","4,425,000.00",USD
"United Nations integrated action to help manage effects of sanctions, economic downturn and COVID-19 pandemic on the most vulnerable communities in Iran.",IATI Registry,,2019-2021 COVID-19 Pandemic,European Union,Government,European Union,Iran,Government,Iran,Direct financial support,2021,"4,423,279.25","3,538,623.40",2021,"4,423,279.25","3,538,623.40",USD
